time,x1,x2,x3,y1,y2,y3,z1,z2,z3
0.17,0.45547475532759246,0.03466408047070413,0.01650440027416894,0.08407591380964378,0.0001945285283654664,0.00010636230721217769,0.065312294202237,-0.003140876231906937,-0.0014274987636622325
0.18,0.4703521839668481,0.03609824044485756,0.01739645244980648,0.0833894894552529,0.00022963834410066699,0.00012581864062220796,0.061479983219496256,-0.003490518825268515,-0.001597341845870469
0.19,0.4842772151631553,0.03743979422806171,0.018274011630692526,0.08274255502497263,0.00026851827621626013,0.00014744565213600571,0.05749940125796367,-0.0038535312058448983,-0.001776167280197277
0.2,0.497215899774231,0.03868576776410564,0.019136201517221195,0.08213651598637932,0.00031130409237157636,0.00017134158132293538,0.053380725448150396,-0.004228949156349766,-0.001963856791691074
0.21,0.5091368029832943,0.039833429931928836,0.01998216110712186,0.08157267364246282,0.0003581212710274617,0.00019760180651114828,0.049134478594541973,-0.004615780356289908,-0.0021602864168048606
0.22,0.5200110780644659,0.040880298732147435,0.02081104775911733,0.08105222207992585,0.00040908478364059983,0.00022631881832995115,0.04477148955041933,-0.005013008060595716,-0.0023653264508630713
0.23,0.5298124685263478,0.041824141164545615,0.021622038276717506,0.080576248081335,0.00046429913039681666,0.00025758226498089916,0.0403028798028402,-0.005419592319778206,-0.0025788415322884066
0.24,0.5385174979375629,0.04266299028516163,0.02241433355195916,0.0801457232701184,0.0005238576822510464,0.0002914787864418911,0.03574000354461905,-0.005834475577737384,-0.0028006902538996025
0.25,0.5461055170542204,0.04339514939329762,0.023187159839267887,0.07976150216046561,0.0005878425198502178,0.0003280919751483168,0.031094431154053987,-0.006256584214331593,-0.0030307250749830004
0.26,0.552558708720264,0.04401919240637528,0.023939768990103215,0.07942432195480682,0.0006563244225262089,0.0003675023714033649,0.026377944338429583,-0.006684828979090326,-0.0032687922856824425
0.27,0.5578621145241135,0.04453396531527381,0.02467144124116584,0.07913480144443277,0.0007293628808718484,0.0004097874806359408,0.02160248084247204,-0.0071181098981816186,-0.003514731698423324
0.28,0.5620036109349559,0.044938583901085113,0.025381485340482127,0.0788934419979817,0.0008070062267891319,0.0004550218478727719,0.01678013412303298,-0.007555316257106378,-0.003768376736429831
0.29,0.5649740455241351,0.045232445318480995,0.02606924214714981,0.07870062192765859,0.0008892912041142699,0.0005032768663093962,0.011923074445446656,-0.007995333685148827,-0.0040295536781812654
0.3,0.5667672602123068,0.04541523000620619,0.02673408540807245,0.07855659552799742,0.0009762429013858282,0.0005546207473222702,0.007043532287700148,-0.008437045642902881,-0.004298081514853955
0.31,0.5673800912562706,0.04548690168295756,0.027375421760464525,0.07846149307641839,0.0010678747521164081,0.0006091185202995009,0.0021537981927882365,-0.008879333434996643,-0.0045737719489850615
0.32,0.5668123416004767,0.045447703630277,0.027992691720851885,0.07841532198268851,0.001164188751688007,0.0006668320285835941,-0.002733832636570921,-0.009321080945289762,-0.004856428926962001
0.33,0.5650667134172003,0.04529815224635035,0.02858536976886897,0.07841796958306911,0.0012651758128098933,0.0007278201125421987,-0.0076070607898863045,-0.009761174534645225,-0.005145848744940377
0.34,0.5621488517780925,0.04503904002840248,0.029152965188685775,0.07846920133726636,0.0013708156529861771,0.0007921384204570371,-0.012453645136646447,-0.01019850847501111,-0.005441819425006896
0.35,0.5580673560891669,0.04467143558620654,0.029695022966176335,0.07856866035940159,0.0014810768169731543,0.0008598393030349555,-0.017261458649110214,-0.010631989784270858,-0.005744120187446285
0.36,0.5528337800908,0.04419668364208393,0.03021112378891875,0.07871586741801129,0.0015959166767793073,0.000930971813407924,-0.02201848840230686,-0.011060538226243272,-0.006052521450741297
0.37,0.5464626282992008,0.043616404644902664,0.030700884014131017,0.07891022108356957,0.0017152814483651834,0.001005581704716749,-0.026712837848232862,-0.01148308649985805,-0.006366784817345159
0.38,0.5389711904010778,0.04293247732949851,0.031163954311356306,0.07915100459242876,0.0018391069968717072,0.0010837114460976627,-0.03133280655647803,-0.011898586756637733,-0.006686662563688459
0.39,0.5303795301644881,0.04214703858414631,0.031600019702145876,0.07943738630424718,0.0019673189611843084,0.0011654004759814045,-0.03586684404405645,-0.012306006489218974,-0.0070118979377912566
0.4,0.5207104164102668,0.041262474947461214,0.03200879848989162,0.07976842256711965,0.0020998330440396484,0.00125068490310881,-0.04030364475551088,-0.012704336609792383,-0.007342224629765924
0.41,0.5099892611069725,0.04028141567013933,0.032390041625766794,0.0801430602845861,0.002236555292632114,0.001339597409388702,-0.04463219878611477,-0.013092595714099486,-0.007677366463563095
0.42,0.4982441193708864,0.03920673271495762,0.032743532708726035,0.08056013691563164,0.002377382098613829,0.0014321672498978988,-0.04884179188187246,-0.013469830081432752,-0.008017037396971686
